time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,35,17,0,0
2026-04-21 00:00:00+00:00,52,21,0,0
2026-04-22 00:00:00+00:00,84,27,0,0
2026-04-23 00:00:00+00:00,81,23,0,0
2026-04-24 00:00:00+00:00,73,27,0,0
2026-04-25 00:00:00+00:00,62,29,0,0
2026-04-26 00:00:00+00:00,46,12,0,0
2026-04-27 00:00:00+00:00,15,6,3,2
2026-04-28 00:00:00+00:00,27,8,0,0
2026-04-29 00:00:00+00:00,24,5,0,0
2026-04-30 00:00:00+00:00,24,8,0,0
2026-05-01 00:00:00+00:00,32,8,0,0
2026-05-02 00:00:00+00:00,38,10,0,0
2026-05-03 00:00:00+00:00,3,3,0,0
