time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-07 00:00:00+00:00,0,0,1,1
2025-07-09 00:00:00+00:00,0,0,21,1
2025-07-11 00:00:00+00:00,27,26,85,2
2025-07-12 00:00:00+00:00,10,7,0,0
2025-07-13 00:00:00+00:00,5,5,3,1
2025-07-14 00:00:00+00:00,1,1,15,2
2025-07-15 00:00:00+00:00,5,5,14,2
2025-07-16 00:00:00+00:00,4,4,6,2
2025-07-17 00:00:00+00:00,1,1,20,2
2025-07-18 00:00:00+00:00,2,2,0,0
2025-07-19 00:00:00+00:00,7,7,3,1
2025-07-20 00:00:00+00:00,3,3,0,0
2025-07-21 00:00:00+00:00,2,2,3,1
2025-07-22 00:00:00+00:00,4,4,9,1
2025-07-23 00:00:00+00:00,4,4,9,1
2025-07-24 00:00:00+00:00,5,5,0,0
2025-07-25 00:00:00+00:00,3,3,7,2
2025-07-26 00:00:00+00:00,5,5,0,0
2025-07-27 00:00:00+00:00,5,5,0,0
2025-07-28 00:00:00+00:00,0,0,7,2
